Common_name,Species_Name,Minimum_time_cultivation,Primary_use (Historic),Secondary_use,Current_use,No_Food_Uses,No_Non_Food_Uses,No_Total_Uses,Multi-uses_codes,Biogeographic_Region,Major(1)/Minor(0),Area_Grown_(ha),Sources_additional_uses,Access_Date,,,,
Hemp,Cannabis sativa,6000,O,N,O,3,4,7,M PP P I A TX O ,Indo_malay,0,0,,20/03/2021,,,,
Watermelon,Citrullus lanatus,6000,F,B,F,4,2,6,P M O I F B,Afrotropic,1,5193907.182,,20/03/2021,,,,
Citron,Citrus medica,6000,K,S,K,1,2,3,M I K ,Indo_malay,0,0,,20/03/2021,,,,
Coriander,Coriandrum sativum,6000,K,N,K,3,2,5,P M O I K,Palearctic,0,0,,20/03/2021,,,,
Tiger_nut,Cyperus esculentus,6000,R,O,R,4,3,7,B V M I TX R O,Palearctic,0,0,,20/03/2021,,,,
White_yam,Dioscorea cayennensis,6000,R,NA,R,2,0,2,R B,Afrotropic,1,6128439.909,,20/03/2021,,,,
Teff,Eragrostis tef,6000,C,A,C,2,0,2,P A,Neotropic,1,3970946.545,,20/03/2021,,,,
Kenaf,Hibiscus cannabinus,6000,O,N,O,3,5,8,K C M T TX PP I F,Afrotropic,0,0,,20/03/2021,,,,
Bitter_melon,Momordica charantia,6000,F,O,F,4,1,5,"P, Q, F, O, M ",Indo_malay,0,0,,20/03/2021,,,,
Plum_and_prune,Prunus domestica,6000,F,N,F,3,3,6,P F B M D I,Palearctic,1,4251097.636,,20/03/2021,,,,
Pear,Pyrus communis,6000,F,N,F,1,4,5,M TB D T F,Palearctic,1,2672042.818,,20/03/2021,,,,
Malabar_plum,Syzygium cumini,6000,F,N,F,2,5,7,B M TB D T I F,Indo_malay,0,0,,20/03/2021,,,,
Fenugreek,Trigonella foenum-graecum,6000,K,V,K,3,4,7,O B M I D T K,Palearctic,0,0,,20/03/2021,,,,
Olive,Olea europaea,6500,F,O,F,2,5,7,D M I TB T F O,Palearctic,1,9935470.727,,20/03/2021,,,,
Onion,Allium cepa,7000,V,K,V,2,3,5,M I D V K,Palearctic,1,5389698.091,,20/03/2021,,,,
Amaranth,Amaranthus caudatus,7000,V,P,V,2,2,4,M D V P ,Nearctic,0,0,,20/03/2021,,,,
Purple_amaranth,Amaranthus cruentus,7000,V,P,V,2,1,3,D V P,Nearctic,0,0,,20/03/2021,,,,
Princes_feather,Amaranthus hypochondriacus,7000,V,P,V,2,2,4,M D V P ,Nearctic,0,0,,20/03/2021,,,,
Rapeseed,Brassica napus,7000,O,A,O,4,4,8,K P M I T V O A,Palearctic,1,39823700.55,,20/03/2021,,,,
Quinoa,Chenopodium quinoa,7000,P,V,P,2,2,4,D I V P,Neotropic,1,132593,,20/03/2021,,,,
Pumpkin_giant_pumpkin,Cucurbita maxima,7000,V,P,V,3,2,5,O M I F P,Neotropic,0,0,,20/03/2021,,,,
Fonio,Digitaria exilis,7000,C,NA,C,1,2,3,M I C ,Afrotropic,1,597945.3636,,21/03/2021,,,,
Indian_yam,Dioscorea trifida,7000,R,NA,R,1,0,1,R,Neotropic,0,0,,21/03/2021,,,,
Luffa,Luffa cylindrica,7000,V,NA,V,1,0,1,V,Indo_malay,0,0,,21/03/2021,,,,
Black_medick,Medicago lupulina,7000,N,A,V,2,2,4,K M P T,Palearctic,0,0,,21/03/2021,,,,
Tepary_bean,Phaseolus acutifolius,7000,P,N,P,2,1,3,V M P,Nearctic,0,0,,21/03/2021,,,,
Dates,Phoenix dactylifera,7000,F,B,F,2,5,7,M T TX I F Q TB ,Indo_malay,1,1207982.727,,21/03/2021,,,,
Spelt,Triticum spelta,7000,C,NA,C,1,3,4,I TX PP C,Palearctic,0,0,,21/03/2021,,,,
Cumin,Cuminum cyminum,7500,K,N,K,1,3,4,"K, M, I, T",Palearctic,0,0,,22/02/2021,,,,
Lettuce,Lactuca sativa,7500,V,O,O,3,1,4,"P, M, V, O",Palearctic,1,1717358.364,,22/02/2021,,,,
Millet_italian,Setaria italica,7500,C,A,C,1,2,3,"M, C, A ",Palearctic,0,0,,22/02/2021,,,,
Einkorn_wheat,Triticum monococcum,7500,C,A,C,1,4,5,"PP, TB, I, C, A",Palearctic,0,0,12,22/02/2021,,,,
Raspberry,Rubus idaeus,7700,F,N,F,4,1,5,"B, R, V, M, F",Palearctic,1,100599.4545,,22/02/2021,,,,
Cabbage,Brassica oleracea,8000,V,N,V,1,2,3,"M, T, V, ",Palearctic,1,3295188.455,,22/02/2021,,,,
Pepper,Capsicum annuum,8000,V,K,V,2,2,4,"T,M, V, K ",Neotropic,1,1724468,,22/02/2021,,,,
Pecan,Carya illinoinensis,8000,P,O,P,3,4,7,"B, T, TB, I, M, P O ",NA,0,0,,22/02/2021,,,,
Buckwheat,Fagopyrum esculentum,8000,C,Q,C,4,3,7,"V, P, M, T, D, C, Q",NA,1,3037840.727,,22/02/2021,,,,
Ice_cream_bean,Inga edulis,8000,F,Q,F,3,4,7,"P, T, TB, I, M, F, Q",Neotropic,0,0,,22/02/2021,,,,
Red_vetchling,Lathyrus cicera,8000,P,NA,P,1,0,1,P,Palearctic,0,0,,22/02/2021,,,,
Grass_pea_common_chickling,Lathyrus sativus,8000,P,A,P,2,2,4,"V, T, P, A",Palearctic,0,0,,22/02/2021,,,,
Bean_dry_edible,Phaseolus vulgaris,8000,P,V,P,3,3,6,"B, A, M ,D, P, V",Neotropic,1,29863859.45,,22/02/2021,,,,
Guava,Psidium guajava,8000,F,A,F,3,5,8,"O, V, T, D, TB, I, F, A, ",Neotropic,0,0,,22/02/2021,,,,
Water_chestnut,Trapa natans,8000,P,F,P,2,1,3,"P, F, M",Palearctic,0,0,,22/02/2021,,,,
Bitter_vetch,Vicia ervilia,8000,A,P,A,1,1,2,"A, P",Palearctic,0,0,,22/02/2021,,,,
Betel_nut,Areca catechu,8776,N,V,N,2,7,9,"F, M, T, TB, TX, D, PP, I, V",Indo_malay,1,932991.9091,,13/03/2021,,,,
Peanut,Arachis hypogaea,9000,P,O,P,3,4,7,"V, M, I, T, A, O, P",Neotropic,1,29740532.91,,23/02/2021,,,,
Hazelnut,Corylus avellana,9000,P,N,P,3,3,6,"B,O, M, TB, I, P",Palearctic,1,629671.7273,,23/02/2021,,,,
Walnut,Juglans regia,9000,P,N,P,5,5,10,"K, O, B,S, M, D, T, TB, I, P",Palearctic,1,1390409.818,,23/02/2021,,,,
Avocado,Persea americana,9000,F,NA,F,3,4,7,"B, O, M, TB, I D, F",Neotropic,1,485423.3636,,23/02/2021,,,,
Pea,Pisum sativum,9000,P,V,P,3,2,5,"B, M ,I, P, V",Palearctic,1,7456784.091,,23/02/2021,,,,
Peach,Prunus persica,9000,F,NA,F,2,3,5,"M, D, I, B, F",Palearctic,1,2300422,,23/02/2021,,,,
Mung_bean,Vigna radiata,9000,P,NA,P,1,0,1,P,Australasia,0,0,,23/02/2021,,,,
Chickpea_gram_pea,Cicer arietinum,9100,P,NA,P,1,0,1,P,Palearctic,1,12066216,,23/02/2021,,,,
Garlic,Allium sativum,10000,K,N,K,2,3,5,"S,T,M, I,K",Palearctic,1,2162521.182,,23/02/2021,,,,
Pineapple,Ananas comosus,10000,F,N,F,4,3,7,"S,V,B,I, TX,M, F",Neotropic,1,1014004.455,,23/02/2021,,,,
Dill,Anethum graveolens,10000,K,N,K,2,2,4,"B, M, I, K",Palearctic,0,0,,23/02/2021,,,,
Oats,Avena sativa,10000,C,A,C,3,6,9,"Q, B, M, TX, I, PP, TB, A, C",Palearctic,1,10366090.64,,23/02/2021,,,,
Brazil_nut,Bertholletia excelsa,10000,P,N,P,2,4,6,"O,TB, TX,M,I, P",Neotropic,1,11511.72727,,24/02/2021,,,,
Mustard,Brassica nigra,10000,K,V,K,3,2,5,"O, M, I, K, V, ",Palearctic,1,729686.8182,,24/02/2021,,,,
Chilly,Capsicum baccatum,10000,K,NA,K,1,0,1,K,Neotropic,0,0,,24/02/2021,,,,
Bonnet_pepper,Capsicum chinense,10000,K,NA,K,1,0,1,K,Nearctic,0,0,,24/02/2021,,,,
Carob,Ceratonia siliqua,10000,A,S,A,3,3,6,"C, B, I , TB, A, S",Palearctic,1,83594,,24/02/2021,,,,
Cucumber,Cucumis sativus,10000,V,N,V,3,2,5,"I,O,P,M, V",Indo_malay,1,3150324,,24/02/2021,,,,
Squash,Cucurbita moschata,10000,V,NA,V,3,0,3,"V,P,O",Neotropic,0,0,11,24/02/2021,,,,
Summer_squash,Cucurbita pepo,10000,V,NA,V,4,1,5,"P, C,O, M, V",Neotropic,1,2149948.909,,24/02/2021,,,,
Ube_yam,Dioscorea alata,10000,R,NA,R,1,0,1,R,Australasia,0,0,,24/02/2021,,,,
Enset_abyssinian_banana,Ensete ventricosum,10000,R,NA,R,3,2,5,"C, P, TX, A, R",Afrotropic,0,0,3,24/02/2021,,,,
Potato_sweet,Ipomoea batatas,10000,R,V,R,2,1,3,"D, R, V, ",Neotropic,1,11735525.45,,24/02/2021,,,,
Apple,Malus domestica,10000,F,B,F,2,0,2,"Q, R",Palearctic,1,7131225.818,,22/02/2021,,,,
Cassava,Manihot esculenta,10000,R,Q,R,2,3,5,"A, T, TX",Neotropic,1,21542420.36,,22/02/2021,,,,
Sago_palm,Metroxylon sagu,10000,R,N,R,1,1,2,"TB, R ",Australasia,0,0,,22/02/2021,,,,
Banana,Musa acuminata,10000,F,NA,F,1,0,1,F,Indo_malay,1,5675173.727,,22/02/2021,,,,
Oca,Oxalis tuberosa,10000,R,NA,R,1,0,1,R,NA,0,0,,22/02/2021,,,,
Pandan,Pandanus amaryllifolius,10000,K,N,K,1,2,3,"D, M, K",Indo_malay,0,0,,22/02/2021,,,,
Millet,Panicum miliaceum,10000,C,A,C,1,4,5,"I, T, M, C, A",NA,0,0,,22/02/2021,,,,
White_musttard,Sinapis alba,10000,K,T,K,2,2,4,"T, Q, I, K",Palearctic,0,0,,22/02/2021,,,,
Potato,Solanum tuberosum,10000,R,A,R,2,2,4,"A, TX, R, I",Neotropic,1,24010844.36,,22/02/2021,,,,
Sorghum,Sorghum bicolor,10000,C,Q,C,3,3,6,"T, PP, S, A, C, Q ",Afrotropic,1,43523296,,22/02/2021,,,,
Bread_wheat,Triticum aestivum,10000,C,NA,C,1,2,3,"PP, T, C ",Palearctic,1,226291774.1,,22/02/2021,,,,
Maize,Zea mays,10000,C,A,C,1,5,6,"T, TX, PP, I, C, A ",Neotropic,1,204990207.7,,22/02/2021,,,,
Wild_rice_manchurian,Zizania latifolia,10000,C,V,V,2,0,2,"C, V",NA,0,0,,22/02/2021,,,,
Wild_rice_american,Zizania palustris,10000,C,NA,C,1,0,1,C,Nearctic,0,0,,22/02/2021,,,,
Rye,Secale cereale,10500,C,Q,C,2,4,6,"A, T, PP, TX, C, Q ",Palearctic,1,5737997.909,,22/02/2021,,,,
Broad_bean,Vicia faba,10500,P,V,P,2,2,4,"T,A, P, V ",Palearctic,1,3227987,,22/02/2021,,,,
narbon_bean,Vicia narbonensis,10500,V,A,V,1,2,3,"A, V , T",Palearctic,0,0,,22/02/2021,,,,
Vetch_for_grain,Vicia sativa,10500,V,A,A,1,2,3,"T, V, A",Palearctic,1,593645,,22/02/2021,,,,
Smooth_vetch,Vicia tetrasperma,10500,V,T,T,1,2,3,"A, V, T",Palearctic,0,0,,22/02/2021,,,,
Agave,Agave tequilana,11000,Q,N,Q,1,1,2,"TX, Q",Neotropic,0,0,,22/02/2021,,,,
Chocolate_pudding_fruit,Diospyros nigra,11000,F,NA,F,1,0,1,F,Neotropic,0,0,,22/02/2021,,,,
Jujube,Ziziphus jujuba,11000,F,B,F,2,2,4,"M, TB, F, B ",Palearctic,0,0,,22/02/2021,,,,
Flax,Linum usitatissimum,11200,N,O,N,1,4,5,"TX, A, I, PP, O",Palearctic,1,275167.8182,,22/02/2021,,,,
Emmer_wheat,Triticum dicoccon,11500,C,A,C,1,2,3,"PP, A, C ",Palearctic,0,0,,22/02/2021,,,,
Durum_wheat,Triticum durum,11500,C,NA,C,1,0,1,C,Palearctic,1,17032714.18,,22/02/2021,,,,
Giant_taro,Alocasia macrorrhizos,12000,R,A,R,1,1,2,"R, A ",Australasia,0,0,,22/02/2021,,,,
Beet_chard,Beta vulgaris,12000,V,S,V,2,2,4,"M, A, V, S",Palearctic,1,4861663.273,,22/02/2021,,,,
Saffron,Crocus sativus,12000,K,N,K,1,1,2,"D, K ",Palearctic,1,924912.1818,,22/02/2021,,,,
Barley,Hordeum vulgare,12000,C,Q,C,2,2,4,"A, PP, C, Q",Palearctic,1,51667824.18,,22/02/2021,,,,
Lentil,Lens culinaris,12000,P,V,P,2,1,3,"T, P, V",Palearctic,1,4219046.091,,22/02/2021,,,,
Prickly_pear,Opuntia ficus-indica,12000,F,Q,F,2,3,5,"A, T, I, F, Q",Nearctic,0,0,,22/02/2021,,,,
Sugarcane,Saccharum officinarum,12000,S,A,S,1,4,5,"T, I, PP, S, A ",Australasia,1,26581179.36,,22/02/2021,,,,
Coconut,Cocos nucifera,13000,F,O,F,4,5,9,"TB, T, D, A, O, B, S, I, F",Australasia,1,11800790.18,,22/02/2021,,,,
Rice,Oryza sativa,13000,C,O,C,2,3,5,"PP, TX, I, C, O",Indo_malay,1,190364378.8,,22/02/2021,,,,
Almond,Prunus dulcis,13000,P,B,P,4,1,5,"O, C, D, P, B",Palearctic,1,1760097.909,,22/02/2021,,,,
Grape,Vitis vinifera,13000,F,Q,F,2,2,4,"A, D, F, Q, ",Palearctic,1,7715034.545,,22/02/2021,,,,
Fig,Ficus carica,13400,F,NA,F,1,1,2,"TB, F",Palearctic,1,317353.6364,,22/02/2021,,,,
Pili_nut,Canarium ovatum,14000,P,O,P,3,2,5,"V, I, TB, P, O",Indo_malay,0,0,,22/02/2021,,,,
Bottle_gourd,Lagenaria siceraria,15000,V,N,V,1,1,2,"TB, V ",Afrotropic,0,0,,22/02/2021,,,,
Taro,Colocasia esculenta,18000,R,V,R,2,2,4,"A, TX, R, V",Indo_malay,1,1590327.818,,22/02/2021,,,,
